detailed_work_activity,impact,intermediate_work_activity,element
"Drill holes in parts, equipment, or materials.",0.3049407929945107,Drill holes in earth or materials.,Handling and Moving Objects
Drive passenger vehicles.,0.29016841782616076,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
Drive trucks or other vehicles to or at work sites.,-0.11260787314163778,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
Drive trucks or truck-mounted equipment.,0.07741212078124526,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
Drive vehicles to transport individuals or equipment.,0.0019759189892978313,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
Drive vehicles to transport patrons.,-0.21394648766194502,Operate transportation equipment or vehicles.,"Operating Vehicles, Mechanized Devices, or Equipment"
Edit audio or video recordings.,0.218781198963514,Alter audio or video recordings.,Making Decisions and Solving Problems
Edit documents.,-0.1875644804880956,Edit written materials or documents.,Making Decisions and Solving Problems
Edit written materials.,-0.017392181893224556,Edit written materials or documents.,Making Decisions and Solving Problems
Educate clients on financial planning topics.,-0.5211103285415595,Explain financial information.,Interpreting the Meaning of Information for Others
Educate the public about fire safety or prevention.,0.017221000257154007,Teach safety procedures or standards to others.,Training and Teaching Others
Embalm corpses.,0.07629491823943546,Embalm corpses.,Handling and Moving Objects
Encourage patients during therapeutic activities.,-0.009477937022839722,Provide support or encouragement to others.,Coaching and Developing Others
Encourage patients or clients to develop life skills.,0.022868207019091535,Provide support or encouragement to others.,Coaching and Developing Others
Encourage students.,0.14494006998160236,Provide support or encouragement to others.,Coaching and Developing Others
Enforce rules or policies governing student behavior.,4.8299182769273585e-05,Monitor individual behavior or performance.,"Monitor Processes, Materials, or Surroundings"
Enforce rules or regulations.,0.006675435473367131,Maintain safety or security.,Performing General Physical Activities
Engage patients in exercises or activities.,-0.02659716267905443,Train others on health or medical topics.,Training and Teaching Others
"Engrave designs, text, or other markings onto materials, workpieces, or products.",0.1369545856697627,Engrave objects.,Handling and Moving Objects
Enter codes or other information into computers.,0.05127459771284926,Process digital or online data.,Interacting With Computers
"Enter commands, instructions, or specifications into equipment.",-0.03451855950175409,Program computer systems or production equipment.,Interacting With Computers
Enter information into databases or software programs.,-0.40052138058986886,Process digital or online data.,Interacting With Computers
Enter patient or treatment data into computers.,-0.14306127222628762,Process digital or online data.,Interacting With Computers
Entertain public with comedic or dramatic performances.,0.5656332209368968,Present arts or entertainment performances.,Performing for or Working Directly with the Public
"Escort prisoners to courtrooms, prisons, or other facilities.",0.08269050268213807,Escort others.,Performing General Physical Activities
Establish business management methods.,-0.024010950371760487,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Establish interpersonal business relationships to facilitate work activities.,-0.004200096169323153,Develop professional relationships or networks.,Establishing and Maintaining Interpersonal Relationships
Establish nursing policies or standards.,0.017091475622547758,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Establish operational policies.,0.22261238222855795,"Develop educational programs, plans, or procedures.",Thinking Creatively
Establish organizational guidelines or policies.,0.04879090251072249,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
Establish rules or policies governing student behavior.,-0.02342081110029115,"Develop safety standards, policies, or procedures.",Thinking Creatively
Establish standards for medical care.,0.06554757144476353,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
"Establish standards for products, processes, or procedures.",0.3561363950125358,Develop operational or technical procedures or standards.,Developing Objectives and Strategies
Establish treatment goals.,0.0,Develop patient or client care or treatment plans.,Thinking Creatively
Establish work standards.,-0.03598807490766198,"Develop educational programs, plans, or procedures.",Thinking Creatively
